field_id	lba	start	end	length	profile_axis	profile	semantic_type	meaning	decode_rule	encode_rule	ownership	evolution_kind	producer_evidence	consumer_evidence	physical_evidence	implementation_provenance	code_symbol	test_symbol	semantic_status	implementation_status	behavior_test_status	ownership_test_symbol
lba6.user_slot	6	050	06f	32	base	all	CString	User slot; post-NUL backing.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::user_slot	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.autonum_slot	6	070	07f	16	base	all	CString	Autonum slot; post-NUL backing.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::autonum_slot	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.office_slot	6	080	0bf	64	base	all	CString	Office slot; post-NUL backing.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::office_slot	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.template_0c0_0ff	6	0c0	0ff	64	base	all	CompatibilityField	Static template material.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::template_0c0_0ff	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.device_crc	6	100	103	4	base	all	Scalar	CRC32(device_id).	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::device_crc	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.device_crc_guard	6	104	107	4	base	all	Scalar	2*CRC32(device_id) compatibility guard.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::device_crc_guard	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.template_108_187	6	108	187	128	base	all	CompatibilityField	Static bootstrap/message template.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::template_108_187	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.label_slot	6	188	1bf	56	base	all	CString	Label slot with backing.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::label_slot	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.gserial_prefix	6	1c0	1c8	9	base	all	CString	GSerial prefix/terminator position.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::gserial_prefix	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.gserial_tail	6	1c9	1ce	6	base	all	CString	GSerial tail or post-NUL backing.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::gserial_tail	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.gserial_terminator	6	1cf	1cf	1	base	all	Scalar	Dedicated GSerial NUL.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::gserial_terminator	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.beizhu_head	6	1d0	1d0	1	base	all	CString	BeiZhu first byte/empty NUL.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::beizhu_head	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.beizhu_tail	6	1d1	1de	14	base	all	CString	BeiZhu tail or post-NUL backing.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::beizhu_tail	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.beizhu_terminator	6	1df	1df	1	base	all	Scalar	Dedicated BeiZhu NUL.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::beizhu_terminator	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.compat_1ee_1ef	6	1ee	1ef	2	base	all	CompatibilityField	Zero compatibility tail.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::compat_1ee_1ef	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.encrypt_generation_flag	6	1f0	1f3	4	base	all	Scalar	Write-only !SAFE m_encrypt metadata.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::encrypt_generation_flag	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.zero_tail	6	1f4	1fb	8	base	all	CompatibilityField	Static zero tail.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::zero_tail	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba6.checksum	6	1fc	1ff	4	base	all	Checksum	SAFE6 checksum over first 508 bytes.	Decode field; C-strings stop at first NUL.	Serialize canonical field and preserve documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba6::checksum	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba7.entries_0_1	7	000	07f	128	base	all	PackedStruct	Packed 64-byte legacy EDPF entries 0 and 1.	Decode 0x40-stride entries.	Serialize packed old-table form.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba7::entries_0_1	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba7.post_table_zero	7	0ce	1ff	306	base	all	CompatibilityField	Writer-owned zero region after table/pass-info.	No semantic fields.	Initialize to zero.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba7::post_table_zero	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.magic	8	000	003	4	base	all	Scalar	LLGB magic	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::magic	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.logical_length	8	004	007	4	base	all	Scalar	Logical encrypted-prefix length	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::logical_length	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.tool_version	8	008	00b	4	base	all	CompatibilityField	ToolVersion[4]	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::tool_version	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.lab_version	8	00c	00f	4	base	all	Scalar	Labversion	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::lab_version	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.write_time	8	010	013	4	base	all	Scalar	Monotonic-millisecond writeTime	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::write_time	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.host_hardinfo	8	014	017	4	base	all	CompatibilityField	HDSerialInfo host identity	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::host_hardinfo	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.mac_info	8	018	01d	6	base	all	CompatibilityField	MacInfo[6] reserved slot	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::mac_info	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.usb_only_suffix	8	02e	03d	16	base	all	CompatibilityField	UsbOnlyInfo suffix	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::usb_only_suffix	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.elab_offset	8	03e	03f	2	base	all	Scalar	ELABEL offset	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::elab_offset	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.reserved_040_07f	8	040	07f	64	base	all	CompatibilityField	Reserved zero header	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::reserved_040_07f	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba8.elabel_body	8	080	1ff	384	base	all	EncryptedRegion	Dynamic ELABEL body/backing/tail	Decode with LBA8 logical-length/ELABEL rules.	Serialize current field while preserving documented backing.	owner	Stable	S-WIN-CURRENT;S-LINUX-DWARF	S-WIN-CURRENT;S-LINUX-DWARF	P-GOLD-ENC;P-GOLD-NOPWD	Canonical COMPLETE semantics; provenance limits remain documented.	planned:protocol::lba8::elabel_body	UNIMPLEMENTED	COMPLETE	PLANNED	PLANNED	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.bootstrap	0	000	18f	400	lba0_bootstrap	zero	CompatibilityField	Explicit-zero absent bootstrap.	Select this profile-level bootstrap image.	Write exact first-party image or explicit zero.	owner	ProducerChanged	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC	Selector provenance is separate from wire closure.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.bootstrap	0	000	18f	400	lba0_bootstrap	usb-main-bsec	PackedStruct	Official UsbMainBSec MBR bootstrap.	Select this profile-level bootstrap image.	Write exact first-party image or explicit zero.	owner	ProducerChanged	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC;P-GOLD-NOPWD	Selector provenance is separate from wire closure.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.bootstrap	0	000	18f	400	lba0_bootstrap	netac-mbr	PackedStruct	Netac embedded MBR bootstrap.	Select this profile-level bootstrap image.	Write exact first-party image or explicit zero.	owner	ProducerChanged	S-NETAC-MBR	S-WIN-CURRENT	P-GOLD-ENC	Selector provenance is separate from wire closure.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.sector_size_overlay	0	1a0	1a3	4	lba0_sector_size_overlay	absent	Scalar	SectorSize overlay absent.	Decode LE DWORD; zero is absent, 512 populated.	Preserve absent or write 512.	owner	AddedRemoved	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC	Independent from bootstrap family.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba0.sector_size_overlay	0	1a0	1a3	4	lba0_sector_size_overlay	sector-size-512	Scalar	SectorSize overlay stores LE 512.	Decode LE DWORD; zero is absent, 512 populated.	Preserve absent or write 512.	owner	AddedRemoved	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC	Independent from bootstrap family.	edpcli::protocol::lba0::parse_lba0	basic_behavior::lba0_profiles_decode_mbr_and_preserve_backing	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba1.gpt_primary	1	000	1ff	512	gpt_layout	absent	CompatibilityField	Absent GPT primary-header sector.	No GPT payload.	Preserve absent zero.	owner	AddedRemoved	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC	Physical corpus covers absent profile.	edpcli::protocol::lba1::parse_lba1	gpt_behavior::gpt_absent_is_explicit_and_unknown_never_defaults_to_absent	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba2.gpt_entries	2	000	1ff	512	gpt_layout	absent	CompatibilityField	Absent GPT entry sector.	No GPT entries.	Preserve absent zero.	owner	AddedRemoved	S-WIN-CURRENT	S-WIN-CURRENT	P-GOLD-ENC	Physical corpus covers absent profile.	edpcli::protocol::lba2::parse_lba2	gpt_behavior::gpt_absent_is_explicit_and_unknown_never_defaults_to_absent	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba1.gpt_primary	1	000	1ff	512	gpt_layout	enabled	PackedStruct	GPT primary header and template-owned remainder.	Decode EFI PART header/LBAs/GUIDs/CRCs.	Build official GPT header and CRCs.	owner	AddedRemoved	V-GPT	S-WIN-CURRENT	MISSING_PHYSICAL	Official virtual positive, not physical.	edpcli::protocol::lba1::parse_lba1	gpt_behavior::gpt_virtual_header_and_entries_are_typed_and_crc_checked	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba2.gpt_entry0	2	000	07f	128	gpt_layout	enabled	PackedStruct	Active GPT entry0.	Decode 128-byte entry.	Serialize official entry0.	owner	AddedRemoved	V-GPT	S-WIN-CURRENT;S-LINUX-DWARF	MISSING_PHYSICAL	Official virtual positive.	edpcli::protocol::lba2::parse_lba2	gpt_behavior::gpt_virtual_header_and_entries_are_typed_and_crc_checked	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
lba2.gpt_unused	2	080	1ff	384	gpt_layout	enabled	UnownedBacking	Unused GPT entries1..3.	Zero TypeGUID means residual is ignored.	Keep unused entries unowned.	owner	AddedRemoved	V-GPT	S-WIN-CURRENT;S-LINUX-DWARF	MISSING_PHYSICAL	Residual is semantically ignored after zero TypeGUID.	edpcli::protocol::lba2::parse_lba2	gpt_behavior::gpt_virtual_header_and_entries_are_typed_and_crc_checked	COMPLETE	COMPLETE	COMPLETE	protocol_field_catalog::field_catalog_has_exact_byte_ownership_for_every_profile_state
